virus,reference,hi
EPI416403,EPI309633,1.5197368421052655
EPI416403,EPI316435,2.147286821705425
EPI416403,EPI390473,0.4127906976744171
EPI416403,EPI1853200,0.4127906976744171
EPI416427,EPI1161425,0.0
EPI416427,EPI617718,0.0
EPI416427,EPI2079749,2.8290598290598314
EPI416427,EPI326206,0.0
EPI416427,EPI319590,0.0
EPI416427,EPI309633,0.0
EPI416427,EPI316435,0.14728682170542484
EPI416427,EPI390473,0.0
EPI416427,EPI1853200,0.0
EPI416423,EPI1161425,0.687804878048782
EPI416423,EPI617718,0.687804878048782
EPI416423,EPI2079749,3.8290598290598314
EPI416423,EPI326206,0.742424242424244
EPI416423,EPI319590,0.88826815642458
EPI416423,EPI309633,0.5197368421052655
EPI416423,EPI316435,1.1472868217054248
EPI416423,EPI390473,0.4127906976744171
EPI416423,EPI1853200,0.4127906976744171
EPI416421,EPI1161425,0.1719512195121955
EPI416421,EPI617718,0.1719512195121955
EPI416421,EPI2079749,2.5790598290598314
EPI416421,EPI326206,0.560606060606061
EPI416421,EPI319590,0.472067039106145
EPI416421,EPI309633,0.3799342105263164
EPI416421,EPI316435,0.9670542635658905
EPI416421,EPI390473,0.22819767441860428
EPI416421,EPI1853200,0.22819767441860428
EPI416439,EPI1161425,0.0
EPI416439,EPI617718,0.0
EPI416439,EPI2079749,2.8290598290598314
EPI416439,EPI326206,0.0
EPI416439,EPI319590,0.0
EPI416439,EPI309633,0.0
EPI416439,EPI316435,0.0
EPI416439,EPI390473,0.0
EPI416439,EPI1853200,0.0
EPI416405,EPI1161425,0.0
EPI416405,EPI617718,0.0
EPI416405,EPI2079749,2.8290598290598314
EPI416405,EPI326206,0.0
EPI416405,EPI319590,0.0
EPI416405,EPI309633,0.0
EPI416405,EPI316435,0.14728682170542484
EPI416405,EPI390473,0.0
EPI416405,EPI1853200,0.0
EPI416401,EPI1161425,1.687804878048782
EPI416401,EPI617718,1.687804878048782
EPI416401,EPI2079749,3.8290598290598314
EPI416401,EPI326206,0.742424242424244
EPI416401,EPI319590,0.88826815642458
EPI416401,EPI309633,1.5197368421052655
EPI416401,EPI316435,1.1472868217054248
EPI416401,EPI390473,0.0
EPI416401,EPI1853200,0.0
EPI416411,EPI1161425,0.0
EPI416411,EPI617718,0.0
EPI416411,EPI2079749,1.8290598290598314
EPI416411,EPI326206,0.0
EPI416411,EPI319590,0.0
EPI416411,EPI309633,0.0
EPI416411,EPI316435,0.0
EPI416411,EPI390473,0.0
EPI416411,EPI1853200,0.0
EPI416399,EPI1161425,1.687804878048782
